ह्स्तयोः प्रयोगे
आसीत् दिनाङ्के
टोकियो आकाशवाणीतः
ह्रदयविद्रावकं श्रोतव्यम्
अभवत् श्रीसुभाषचन्द्रबोसमहोदयः
विमानापघाते प्राप्तवान्
अप्रैलदिनाङ्कः ग्रेगोरीयन
पञ्चाङ्गानुसारं वर्षस्य
एकशताधिकद्वादशं दिनम्
दिसम्बरदिनाङ्कः ग्रेगोरीयन
पञ्चाङ्गानुसारं वर्षस्य
त्रिशताधिकषट्पञ्चाशत्तमं दिनम्
